Plugin ID,CVE,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,First Discovered
10881,CVE-2021-44228,Critical,10.0.0.1,tcp,443,Log4Shell Remote Code Execution,A remote code execution vulnerability exists in Apache Log4j2.,The JNDI features used in Log4j2 do not protect against attacker-controlled LDAP servers. An attacker who can control log messages can execute arbitrary code.,Upgrade Apache Log4j2 to version 2.15.0 or later.,2026-01-15
57608,CVE-2022-22965,High,10.0.0.2,tcp,8080,Spring4Shell Remote Code Execution,A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to RCE.,Attackers can exploit ClassLoader access to achieve RCE via data binding.,Upgrade to Spring Framework 5.3.18+ or 5.2.20+.,2026-01-20
51192,CVE-2021-34527,High,10.0.0.3,tcp,445,PrintNightmare - Windows Print Spooler RCE,The Windows Print Spooler service improperly performs privileged file operations.,An authenticated attacker could exploit this to run arbitrary code with SYSTEM privileges.,Apply Microsoft security update KB5004945 or disable Print Spooler.,2026-02-01
57582,CVE-2022-1388,Critical,10.0.0.4,tcp,443,F5 BIG-IP iControl REST Auth Bypass,An authentication bypass vulnerability exists in F5 BIG-IP iControl REST.,Undisclosed requests may bypass authentication allowing an attacker to execute arbitrary system commands.,Upgrade BIG-IP to a fixed version or apply F5 mitigations.,2026-02-05
35291,CVE-2019-11510,High,10.0.0.5,tcp,443,Pulse Secure VPN Arbitrary File Disclosure,Pulse Secure VPN allows unauthenticated remote attackers to read arbitrary files.,The vulnerability allows attackers to steal credentials and session tokens.,Upgrade to Pulse Connect Secure 9.0R3.4 or later.,2026-02-10
65821,CVE-2020-0796,High,10.0.0.6,tcp,445,SMBGhost - Windows SMBv3 RCE,A remote code execution vulnerability exists in the way SMBv3 handles requests.,An unauthenticated attacker could exploit this to execute code on the target server.,Apply Microsoft update KB4551762.,2026-02-12
33851,,Medium,10.0.0.7,tcp,22,SSH Weak Algorithms Supported,The SSH server supports weak encryption algorithms.,Use of weak algorithms may allow an attacker to decrypt traffic.,Disable weak algorithms in the SSH server configuration.,2026-02-15
42873,,Medium,10.0.0.8,tcp,443,SSL Certificate Signed Using Weak Hash Algorithm,The SSL certificate was signed using a weak hash algorithm (MD5/SHA1).,Certificates signed with weak hashes can be forged.,Replace the certificate with one signed using SHA-256 or stronger.,2026-02-18
31705,,Medium,10.0.0.9,tcp,80,HTTP TRACE Method Enabled,The web server supports the TRACE method.,TRACE can be used in cross-site tracing (XST) attacks.,Disable the TRACE method in the web server configuration.,2026-02-20
10386,,Low,10.0.0.10,tcp,25,SMTP Service EXPN Command Enabled,The SMTP server allows user enumeration via EXPN.,Attackers can enumerate valid email addresses.,Disable the EXPN command in the SMTP server configuration.,2026-02-22
