ID,Title,Severity,Resource Name,Description,Remediation,CVE IDs,Created At
WIZ-0001,Public S3 Bucket with Sensitive Data,Critical,prod-data-bucket,An S3 bucket containing sensitive customer data is publicly accessible without authentication.,Enable S3 Block Public Access settings and restrict bucket policy to authorized principals only.,,2026-01-10
WIZ-0002,Exposed Kubernetes API Server,Critical,k8s-prod-cluster,The Kubernetes API server is accessible from the internet without IP allowlisting.,Restrict API server access using network policies and IP allowlisting. Enable RBAC.,CVE-2022-3294,2026-01-15
WIZ-0003,Container Running as Root,High,web-app-container,A production container is running as root which increases the blast radius of a compromise.,Add a non-root USER directive in the Dockerfile and set runAsNonRoot in the pod security context.,,2026-01-18
WIZ-0004,Outdated Node.js with Known CVEs,High,api-service-pod,Node.js 14.x is end-of-life and contains multiple known vulnerabilities.,Upgrade to Node.js 20 LTS or later.,CVE-2023-30581,2026-01-20
WIZ-0005,Unencrypted EBS Volume,High,db-server-ebs-vol,An EBS volume attached to a database server is not encrypted at rest.,Enable EBS encryption using AWS KMS for all volumes containing sensitive data.,,2026-01-22
WIZ-0006,Overly Permissive IAM Role,High,lambda-execution-role,An IAM role attached to a Lambda function has wildcard (*) permissions on all S3 actions.,Apply least privilege by restricting IAM role permissions to only required actions and resources.,,2026-01-25
WIZ-0007,Missing MFA on Privileged IAM Users,Medium,admin-user-group,Privileged IAM users do not have MFA enforced.,Enable MFA for all IAM users with console access especially those with admin privileges.,,2026-02-01
WIZ-0008,Security Group Allows Unrestricted SSH,Medium,web-tier-sg,A security group allows inbound SSH (port 22) from 0.0.0.0/0.,Restrict SSH access to specific trusted IP ranges or use AWS Systems Manager Session Manager.,,2026-02-05
WIZ-0009,CloudTrail Logging Disabled in Region,Medium,us-west-2-account,CloudTrail is not enabled in us-west-2 leaving API activity unlogged.,Enable CloudTrail in all regions and configure log file validation and S3 bucket notifications.,,2026-02-08
WIZ-0010,Unused Access Keys Older Than 90 Days,Low,service-account-user,An IAM user has access keys that have not been used in over 90 days.,Rotate or deactivate unused access keys to reduce the attack surface.,,2026-02-10
